,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
0,จุฬาลงกรณ์มหาวิทยาลัย,1. วิศวกรรมทั่วไป,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,322,38,380,0
1,จุฬาลงกรณ์มหาวิทยาลัย,2. วิศวกรรมคอมพิวเตอร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,50,0,65,0
2,จุฬาลงกรณ์มหาวิทยาลัย,2. วิศวกรรมคอมพิวเตอร์,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,190,10,140,0
3,จุฬาลงกรณ์มหาวิทยาลัย,3. วิศวกรรมเคมี,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Chemical and Process Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,,40,10,0,0
4,จุฬาลงกรณ์มหาวิทยาลัย,4. วิศวกรรมนิวเคลียร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,Bachelor of Engineering Program in Nuclear and Radiological Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,25,0
5,จุฬาลงกรณ์มหาวิทยาลัย,5. วิศวกรรมไฟฟ้า,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,0,0
6,จุฬาลงกรณ์มหาวิทยาลัย,6. วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Information and Communication Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,87,21,0,0
7,จุฬาลงกรณ์มหาวิทยาลัย,7. วิศวกรรมยานยนต์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Automotive Design and Manufacturing Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,45,18,0,0
8,จุฬาลงกรณ์มหาวิทยาลัย,8. วิศวกรรมโยธา,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,0,0,10,0
9,จุฬาลงกรณ์มหาวิทยาลัย,9. วิศวกรรมวัสดุ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,Bachelor of Engineering Program in Metallurgical and Materials Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,0,0,35,0
10,จุฬาลงกรณ์มหาวิทยาลัย,9. วิศวกรรมวัสดุ,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนาโน (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนาโน (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Nano-Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,35,20,0,0
11,จุฬาลงกรณ์มหาวิทยาลัย,10. วิศวกรรมสำรวจ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,Bachelor of Engineering Program in Survey Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,40,0
12,จุฬาลงกรณ์มหาวิทยาลัย,11. วิศวกรรมสิ่งแวดล้อม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,Bachelor of Engineering Program in Environmental Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,25,0
13,จุฬาลงกรณ์มหาวิทยาลัย,12. วิศวกรรมหุ่นยนต์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Robotics and Artificial Intelligence Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,45,11,0,0
14,จุฬาลงกรณ์มหาวิทยาลัย,13. วิศวกรรมเหมืองแร่,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,Bachelor of Engineering Program in Georesources Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,25,0
15,จุฬาลงกรณ์มหาวิทยาลัย,14. วิศวกรรมอากาศยาน,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอากาศยาน (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอากาศยาน (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Aerospace Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,33,15,0,0
16,จุฬาลงกรณ์มหาวิทยาลัย,15. วิศวกรรมอุตสาหการ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,0,0,5,0
17,มหาวิทยาลัยเกษตรศาสตร์,1. วิศวกรรมคอมพิวเตอร์,1. วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,บางเขน,,,31,0,40,0
18,มหาวิทยาลัยเกษตรศาสตร์,2. วิศวกรรมเคมี,1. วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเคมี,B.Eng. (Chemical Engineering),ภาษาไทย ปกติ,บางเขน,,,42,0,15,0
19,มหาวิทยาลัยเกษตรศาสตร์,2. วิศวกรรมเคมี,2. วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเคมี,B.Eng. (Chemical Engineering),ภาษาไทย พิเศษ,บางเขน,,,20,27,39,0
20,มหาวิทยาลัยเกษตรศาสตร์,3. วิศวกรรมเครื่องกล,1. วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering),ภาษาไทย ปกติ,บางเขน,,,30,32,21,0
21,มหาวิทยาลัยเกษตรศาสตร์,3. วิศวกรรมเครื่องกล,2. วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering),ภาษาไทย พิเศษ,บางเขน,,,10,26,35,0
22,มหาวิทยาลัยเกษตรศาสตร์,3. วิศวกรรมเครื่องกล,3. วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (นานาชาติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering) (International Program),นานาชาติ,บางเขน,,,35,20,30,10
23,มหาวิทยาลัยเกษตรศาสตร์,4. วิศวกรรมซอฟต์แวร์,1. วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้,B.Eng. (Software and Knowledge Engineering) (International Program),นานาชาติ,บางเขน,,,40,16,29,0
24,มหาวิทยาลัยเกษตรศาสตร์,5. วิศวกรรมไฟฟ้า,1. วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาไทย ปกติ,บางเขน,,,36,0,20,0
25,มหาวิทยาลัยเกษตรศาสตร์,5. วิศวกรรมไฟฟ้า,2. วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาไทย พิเศษ,บางเขน,,,15,20,38,0
26,มหาวิทยาลัยเกษตรศาสตร์,5. วิศวกรรมไฟฟ้า,3. วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาต่างประเทศ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาต่างประเทศ,บางเขน,,,30,17,30,10
27,มหาวิทยาลัยเกษตรศาสตร์,6. วิศวกรรมเมคคาทรอนิกส์,1. วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต,B.Eng. (Electrical-Mechanical Manufacturing Engineering),ภาษาไทย ปกติ,บางเขน,,,14,0,12,0
28,มหาวิทยาลัยเกษตรศาสตร์,6. วิศวกรรมเมคคาทรอนิกส์,2. วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต,B.Eng. (Electrical-Mechanical Manufacturing Engineering),ภาษาไทย พิเศษ,บางเขน,,,8,15,23,0
29,มหาวิทยาลัยเกษตรศาสตร์,6. วิศวกรรมเมคคาทรอนิกส์,3. วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์ (นานาชาติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์,B.Eng. (Digital Manufacturing and Robotics Integration Engineering),นานาชาติ,บางเขน,,,20,7,30,10
30,มหาวิทยาลัยเกษตรศาสตร์,7. วิศวกรรมโยธา,1. วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมโยธา,B.Eng. (Civil Engineering),ภาษาไทย ปกติ,บางเขน,,,35,0,35,0
31,มหาวิทยาลัยเกษตรศาสตร์,7. วิศวกรรมโยธา,2. วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ,B.Eng. (Civil-Water Resources Engineering),ภาษาไทย ปกติ,บางเขน,,,15,0,45,0
32,มหาวิทยาลัยเกษตรศาสตร์,8. วิศวกรรมวัสดุ,1. วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ,B.Eng. (Materials Engineering),ภาษาไทย ปกติ,บางเขน,,,23,0,10,0
33,มหาวิทยาลัยเกษตรศาสตร์,8. วิศวกรรมวัสดุ,2. วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ,B.Eng. (Materials Engineering),ภาษาไทย พิเศษ,บางเขน,,,15,27,30,10
34,มหาวิทยาลัยเกษตรศาสตร์,9. วิศวกรรมสำรวจ,1. วศ.บ. สาขาวิชาวิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์ (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์,B.Eng. (Survey Engineering and Geographic Information),ภาษาไทย พิเศษ,บางเขน,,,10,7,45,0
35,มหาวิทยาลัยเกษตรศาสตร์,10. วิศวกรรมสิ่งแวดล้อม,1. วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม,B.Eng. (Environmental Engineering),ภาษาไทย ปกติ,บางเขน,,,6,0,45,0
36,มหาวิทยาลัยเกษตรศาสตร์,11. วิศวกรรมอากาศยาน,1. วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ,B.Eng. (Aerospace Engineering),ภาษาไทย ปกติ,บางเขน,,,11,0,25,0
37,มหาวิทยาลัยเกษตรศาสตร์,11. วิศวกรรมอากาศยาน,2. วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (Double Degree - นานาชาติ พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ,B.Eng. (Aerospace Engineering) (International Program),Double Degree - นานาชาติ พิเศษ,บางเขน,,,22,36,25,5
38,มหาวิทยาลัยเกษตรศาสตร์,12. วิศวกรรมอุตสาหการ,1. วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,B.Eng. (Industrial Engineering),ภาษาไทย ปกติ,บางเขน,,,20,0,30,0
39,มหาวิทยาลัยเกษตรศาสตร์,12. วิศวกรรมอุตสาหการ,2. วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,B.Eng. (Industrial Engineering),ภาษาไทย พิเศษ,บางเขน,,,10,15,40,0
40,มหาวิทยาลัยเกษตรศาสตร์,12. วิศวกรรมอุตสาหการ,3. วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาต่างประเทศ) วิทยาเขต บางเขน,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,B.Eng. (Industrial Engineering),ภาษาต่างประเทศ,บางเขน,,,20,15,20,5
41,มหาวิทยาลัยเกษตรศาสตร์,13. การบิน,1. วท.บ. สาขาวิชาการจัดการเทคโนโลยีการบิน (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,วท.บ. สาขาวิชาการจัดการเทคโนโลยีการบิน,B.S. (Aviation Technology Management),ภาษาไทย พิเศษ,บางเขน,,,25,8,28,0
42,มหาวิทยาลัยกาฬสินธุ์,1. วิศวกรรมเกษตร,1. อส.บ.วิศวกรรมเครื่องจักรกลเกษตร (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,อส.บ.วิศวกรรมเครื่องจักรกลเกษตร,B.Ind.Tech(AgriculturalMachineryEngineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 8,650 ต่อภาคเรียน",,10,10,20,28
43,มหาวิทยาลัยกาฬสินธุ์,2. วิศวกรรมคอมพิวเตอร์,1. วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng.(Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,10,10,15,10
44,มหาวิทยาลัยกาฬสินธุ์,3. วิศวกรรมเครื่องกล,1. วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมเครื่องกล,B.Eng.(MechanicalEngineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,10,10,15,10
45,มหาวิทยาลัยกาฬสินธุ์,4. วิศวกรรมเมคคาทรอนิกส์,1. วศ.บ.วิศวกรรมเมคคาทรอนิกส์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมเมคคาทรอนิกส์,B.Eng.(MechatronicsEngineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,10,10,25,28
46,มหาวิทยาลัยกาฬสินธุ์,5. วิศวกรรมโลจิสติกส์,1. วศ.บ.วิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมโลจิสติกส์,B.Eng.(LogisticsEngineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,10,10,10,14
47,มหาวิทยาลัยกาฬสินธุ์,6. วิศวกรรมอุตสาหการ,1. วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมอุตสาหการ,B.Eng. (Industrial Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,10,10,20,19
48,มหาวิทยาลัยกาฬสินธุ์,7. การออกแบบอุตสาหกรรม,1. สถ.บ.นวัตกรรมการออกแบบ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,สถ.บ.นวัตกรรมการออกแบบ,B.Arch. (Design Innovation),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,800 ต่อภาคเรียน",,10,10,15,14
49,มหาวิทยาลัยขอนแก่น,1. วิศวกรรมเกษตร,1. วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเกษตร) วิศวกรรมเกษตร (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเกษตร) วิศวกรรมเกษตร,Bachelor of Engineering (Agricultural Engineering),ภาษาไทย ปกติ,ขอนแก่น,สามารถดูรายละเอียดได้ที่ https://admissions.kku.ac.th/tuitionfee/,,26,29,7,4
50,มหาวิทยาลัยขอนแก่น,2. วิศวกรรมคอมพิวเตอร์,1. วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,ขอนแก่น,สามารถดูรายละเอียดได้ที่ https://admissions.kku.ac.th/tuitionfee/,,50,53,30,0
51,มหาวิทยาลัยขอนแก่น,3. วิศวกรรมเคมี,1. วิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการเคมี) วิศวกรรมกระบวนการเคมี หลักสูตรนานาชาติ (นานาชาติ) วิทยาเขต ขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการเคมี) วิศวกรรมกระบวนการเคมี หลักสูตรนานาชาติ,Bachelor of Engineering (Chemical Process Engineering),นานาชาติ,ขอนแก่น,สามารถดูรายละเอียดได้ที่ https://admissions.kku.ac.th/tuitionfee/,,20,35,25,20
52,มหาวิทยาลัยขอนแก่น,3. วิศวกรรมเคมี,2. วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) วิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) วิศวกรรมเคมี,Bachelor of Engineering (Chemical Engineering),ภาษาไทย ปกติ,ขอนแก่น,สามารถดูรายละเอียดได้ที่ https://admissions.kku.ac.th/tuitionfee/,,16,50,26,14
