,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
197,มหาวิทยาลัยศรีนครินทรวิโรฒ,4. วิศวกรรมชีวการแพทย์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์,Bachelor of Engineering Program in Biomedical Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 77.78 ของนักศึกษาปีการศึกษา 2565,30,10,36,70
198,มหาวิทยาลัยศรีนครินทรวิโรฒ,5. วิศวกรรมซอฟต์แวร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมด้านความปลอดภัยไซเบอร์ (หลักสูตรนานาชาติ) (Double Degree - นานาชาติ ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมด้านความปลอดภัยไซเบอร์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Cyber Security Engineering (International program),Double Degree - นานาชาติ ปกติ,องครักษ์,"80,000 ต่อภาคเรียน",,12,2,17,16
199,มหาวิทยาลัยศรีนครินทรวิโรฒ,6. วิศวกรรมไฟฟ้า,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมไฟฟ้ากำลัง (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 86.96 ของนักศึกษาปีการศึกษา 2565,30,5,13,4
200,มหาวิทยาลัยศรีนครินทรวิโรฒ,6. วิศวกรรมไฟฟ้า,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมโทรคมนาคมและเทคโนโลยีสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 88.57 ของนักศึกษาปีการศึกษา 2565,30,5,34,0
201,มหาวิทยาลัยศรีนครินทรวิโรฒ,7. วิศวกรรมโยธา,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 54 ของนักศึกษาปีการศึกษา 2565,30,10,21,0
202,มหาวิทยาลัยศรีนครินทรวิโรฒ,8. วิศวกรรมโลจิสติกส์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์ (หลักสูตร 2 ภาษา) (สองภาษา/สามภาษา) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์ (หลักสูตร 2 ภาษา),Bachelor of Engineering Program in Logistics Engineering,สองภาษา/สามภาษา,องครักษ์,"40,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 100 ของนักศึกษาปีการศึกษา 2565,40,5,43,12
203,มหาวิทยาลัยศรีนครินทรวิโรฒ,9. วิศวกรรมสิ่งแวดล้อม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,Bachelor of Engineering Program in Environmental Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 66.67 ของนักศึกษาปีการศึกษา 2565,25,10,26,0
204,มหาวิทยาลัยศรีนครินทรวิโรฒ,10. วิศวกรรมอุตสาหการ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 83.72 ของนักศึกษาปีการศึกษา 2565,40,5,18,0
205,มหาวิทยาลัยศิลปากร,1. เทคโนโลยีการอาหาร,1. หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร),B.Sc.(FoodTechnology),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,94,30,40,20
206,มหาวิทยาลัยศิลปากร,1. เทคโนโลยีการอาหาร,2. หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร),B.Sc.(FoodTechnology),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,10,5,5,20
207,มหาวิทยาลัยศิลปากร,2. เทคโนโลยีชีวภาพ,1. หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ),B.Sc.(Biotechnology),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,114,35,30,20
208,มหาวิทยาลัยศิลปากร,2. เทคโนโลยีชีวภาพ,2. หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ),B.Sc.(Biotechnology),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,10,5,5,5
209,มหาวิทยาลัยศิลปากร,3. วิศวกรรมกระบวนการชีวภาพ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ),B.Eng.(BioprocessEngineering),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,114,35,30,20
210,มหาวิทยาลัยศิลปากร,3. วิศวกรรมกระบวนการชีวภาพ,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ),B.Eng.(BioprocessEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,10,5,5,5
211,มหาวิทยาลัยศิลปากร,4. วิศวกรรมเคมี,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี),B.Eng.(ChemicalEngineering),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,114,35,20,0
212,มหาวิทยาลัยศิลปากร,4. วิศวกรรมเคมี,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี),B.Eng.(ChemicalEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,30,15,10,10
213,มหาวิทยาลัยศิลปากร,5. วิศวกรรมเครื่องกล,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล),B.Eng.(MechanicalEngineering),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,194,80,30,0
214,มหาวิทยาลัยศิลปากร,5. วิศวกรรมเครื่องกล,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล),B.Eng.(MechanicalEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,80,20,0,10
215,มหาวิทยาลัยศิลปากร,6. วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร),B.Eng.(ElectricalCommunicationsEngineering),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",,84,20,15,0
216,มหาวิทยาลัยศิลปากร,6. วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร),B.Eng.(ElectricalCommunicationsEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",,20,10,15,5
