Unnamed: 0,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
134,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมเคมี,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมเคมีและการจัดการ (หลักสูตรนานาชาติ) (TEPE) (นานาชาติ) วิทยาเขต ศูนย์รังสิต,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมเคมีและการจัดการ (หลักสูตรนานาชาติ) (TEPE),Bachelor of Engineering Programe in Chemical Engineering (International Program),นานาชาติ,ศูนย์รังสิต,90000.0,80.0%,12,2,0,16
135,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.สาขาวิชาวิศกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,90000.0,74.0%,37,22,35,0
136,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมเครื่องกล,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมเครื่องกลและการจัดการอุตสาหกรรม (หลักสูตรนานาชาติ) (TEPE) (นานาชาติ) วิทยาเขต ศูนย์รังสิต,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมเครื่องกลและการจัดการอุตสาหกรรม (หลักสูตรนานาชาติ) (TEPE),Bachelor of Engineering Programe in Mechanical Engineering/Industrial Engineering (International Program),นานาชาติ,ศูนย์รังสิต,90000.0,80.0%,12,2,0,6
137,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมซอฟต์แวร์,วศ.บ.สาขาวิชาวิศวกรรมซอฟต์แวร์ (โครงการพิเศษ) (ภาษาไทย พิเศษ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศวกรรมซอฟต์แวร์ (โครงการพิเศษ),Bachelor of Engineering Program in Software Engineering,ภาษาไทย พิเศษ,ศูนย์รังสิต,52000.0,70.0%,38,7,30,0
138,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,18200.0,74.0%,37,22,60,0
139,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้าและการจัดการอุตสาหกรรม (โครงการพิเศษ) (ภาษาไทย พิเศษ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้าและการจัดการอุตสาหกรรม (โครงการพิเศษ),Bachelor of Engineering Program in Industrial Electrical Engineering,ภาษาไทย พิเศษ,ศูนย์รังสิต,57000.0,70.0%,38,7,30,0
140,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้าและข้อมูล (หลักสูตรนานาชาติ) (TEPE) (นานาชาติ) วิทยาเขต ศูนย์รังสิต,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมไฟฟ้าและข้อมูล (หลักสูตรนานาชาติ) (TEPE),Bachelor of Engineering Programe in Electrical Engineering (International Program),นานาชาติ,ศูนย์รังสิต,90000.0,80.0%,14,3,0,13
141,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมโยธา,วศ.บ.สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,18200.0,74.0%,37,23,40,0
142,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมโยธา,วศ.บ.สาขาวิชาวิศวกรรมโยธาและการบริหารการก่อสร้าง (โครงการพิเศษ) (ภาษาไทย พิเศษ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศวกรรมโยธาและการบริหารการก่อสร้าง (โครงการพิเศษ),Bachelor of Engineering Program in Civil Engineeringand Construction Management,ภาษาไทย พิเศษ,ศูนย์รังสิต,57000.0,70.0%,38,7,20,0
143,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมโยธา,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมโยธาและการพัฒนาอสังหาริมทรัพย์ (หลักสูตรนานาชาติ) (TEPE) (นานาชาติ) วิทยาเขต ศูนย์รังสิต,หลักสูตร วศ.บ.สาขาวิชาวิศวกรรมโยธาและการพัฒนาอสังหาริมทรัพย์ (หลักสูตรนานาชาติ) (TEPE),Bachelor of Engineering Programe in Civil Engineering (International Program),นานาชาติ,ศูนย์รังสิต,90000.0,80.0%,12,2,0,6
